gene_name,romano_initiation_rate,gene_length,folding_energy_70,folding_energy_80,length of 5prime utr,kozak score,N1,N4,in_frame AUG
YOL009C,0.05033,272,-12.8,-17.6,196,8,1,4,1
YNL307C,0.0504,376,-13.8,-16.4,167,6,3,4,0
YDL207W,0.05048,539,-10.1,-11.6,39,4,4,1,0
YGL075C,0.05065,413,-12.5,-12.5,19,3,2,3,0
YDL025C,0.05078,621,-8,-8.6,197,7,1,1,0
YNL218W,0.05081,588,-9,-12.1,245,5,3,2,0
YBR158W,0.05093,550,-5.3,-6,265,4,4,2,1
YNL299W,0.0511,1575,-5.9,-12.8,192,6,4,1,0
YLL002W,0.05135,437,-11.1,-8.8,25,6,2,3,0
YGR171C,0.05143,576,-14.1,-14.6,210,5,3,1,2
YKL010C,0.05147,1484,-8.8,-9.3,116,6,4,1,0
YKL004W,0.05158,402,-14.2,-12.7,353,2,2,4,0
YDL113C,0.05164,377,-0.9,-12.9,101,7,3,1,0
YNL077W,0.05183,529,-6.6,-8,110,3,4,1,0
YDL224C,0.05187,650,-7.8,-4.6,365,6,2,1,0
YNL047C,0.05241,657,-11.5,-18.2,178,7,2,1,1
YHR045W,0.05268,561,-10.3,-10.7,142,4,2,3,0
YIR018W,0.05274,246,-12.7,-10.5,22,5,1,3,0
YLL035W,0.05295,633,-17.4,-11.3,163,5,1,3,0
YLR189C,0.05302,1199,-7.6,-12.7,76,7,1,1,2
YDR244W,0.05319,613,-8.8,-8.1,26,4,2,4,0
YNR045W,0.05332,490,-2.7,-11.6,107,6,4,1,0
YAL041W,0.05337,855,-8.9,-14.8,65,4,3,1,0
YOL072W,0.05342,456,-9.8,-9.8,23,4,1,3,0
YOL006C,0.05353,770,-6.4,-12.2,127,7,3,1,0
YMR299C,0.05359,313,-5.3,-14.1,52,4,3,2,0
YDL019C,0.05366,1284,-16.6,-10.1,214,8,4,1,0
YLR115W,0.05367,825,-5.3,-12.2,86,3,2,3,0
YNR039C,0.0539,606,-10.5,-12.8,48,3,1,3,0
YML046W,0.05421,630,-10.6,-10.8,84,5,2,3,0
YDR306C,0.05422,479,-22.9,-1.8,153,4,2,3,1
YLR004C,0.05445,623,-6.8,-6.75,290,5,2,1,0
YCL054W,0.05468,842,-4.7,-2.5,18,6,3,1,0
YAL061W,0.05476,418,-3.5,-11.1,90,6,2,1,0
YMR273C,0.05518,916,-7.1,-9.6,189,5,2,1,0
YIR016W,0.05528,266,-22.8,-25.1,49,3,2,3,0
YNR016C,0.05596,2234,-6,-13.7,545,2,2,1,0
YNL161W,0.05623,757,-6.6,-17,173,6,2,3,0
YIL044C,0.05643,299,-13,-13,27,5,4,3,0
YNL213C,0.05663,215,-10.5,-11.4,103,1,4,3,0
YLL063C,0.05683,555,-14.9,-15,71,3,4,1,0
YJR041C,0.05699,1175,-9,-12.9,69,5,3,1,0
YDR061W,0.05704,540,-7.1,-14,56,4,2,1,0
YMR284W,0.05709,603,-12.3,-14.5,45,4,1,1,0
YJL133W,0.05714,315,-6.5,-6.4,171,3,3,1,0
YAL058W,0.05722,503,-7.2,-18.9,50,3,1,1,0
YKL209C,0.05724,1291,-7.6,-7.6,43,5,2,3,0
YNL011C,0.05729,445,-12,-20.3,276,5,2,2,3
YNL092W,0.05741,401,-5.2,-4.5,50,2,2,1,0
YDR311W,0.05764,643,-8.7,-8.7,27,9,1,1,0
YPL097W,0.05776,493,-8.9,-8.9,21,3,2,1,0
YDR333C,0.05783,724,-8.5,-10.3,35,3,2,1,0
YDR228C,0.05792,627,-10.5,-7.9,91,5,2,1,0
YJR141W,0.05798,348,-11.1,-11.1,34,3,1,3,0
YGL002W,0.05814,217,-13.7,-11.2,112,3,2,4,1
YNL152W,0.05822,410,-13.8,-8.3,15,4,2,4,0
YNR006W,0.05833,623,-6.9,-6.9,31,9,1,1,1
YDR169C,0.05836,514,-3.8,-17.6,367,6,4,1,0
YGR091W,0.05855,603,-12.2,-12.2,57,6,1,4,0
YGR091W,0.05855,495,-6.9,-16.4,75,5,3,4,0
YPL181W,0.05862,507,-7.9,-13,122,4,1,3,0
YMR304W,0.05872,1231,-9.2,-11.9,211,5,4,1,0
YPR023C,0.0588,402,-8.4,-15.9,41,4,4,1,0
YGL110C,0.05906,625,-5.6,-11.3,190,6,1,1,1
YBR123C,0.05913,650,-6.2,-14.9,64,5,3,1,0
YNL041C,0.05923,840,-6.7,-14.7,247,6,4,1,1
YCR011C,0.05928,239,-12.2,-16.8,34,4,4,1,0
YOL146W,0.05938,195,-15.3,-12.3,14,5,3,1,0
YLR247C,0.05963,1557,-10.9,-10.9,28,6,4,2,0
YJL099W,0.05964,747,-3.8,-10.8,100,4,3,4,0
YLR015W,0.05974,506,-8.4,-13.5,55,4,2,1,0
YPR160W,0.05984,548,-4.8,-9.8,385,3,4,1,0
YDR347W,0.06002,322,-11.4,-17.7,66,6,1,1,0
YKR038C,0.06014,387,-10.3,-10.3,20,7,1,1,0
YDR512C,0.06018,617,-4.5,-8.6,101,7,1,1,1
YER171W,0.06036,441,-13.6,-15,52,5,1,1,0
YNR055C,0.06043,171,-12.8,-11.4,23,4,3,4,0
YOR269W,0.06047,495,-12.6,-10.1,78,7,1,3,0
YKL173W,0.06052,1009,-7.7,-9.9,422,7,1,1,3
YHL035C,0.06065,1593,-2.8,-15.6,102,3,4,1,2
YOR090C,0.06074,573,-12.4,-11.6,126,6,4,2,0
YOR191W,0.06078,1620,-11.9,-14.5,88,4,2,4,0
YGR194C,0.06093,601,-5.3,-10.7,435,4,1,2,0
YPR081C,0.06107,808,-6.6,-8.3,36,3,1,2,0
YER007W,0.06109,519,-9.2,-16.4,195,5,2,4,0
YKR085C,0.06111,497,-8.3,-12.6,59,4,1,3,0
YDR266C,0.06114,640,-5.7,-9.8,217,3,1,1,0
YKL074C,0.06116,528,-3.7,-7.4,38,5,1,3,0
YPL257W,0.06165,794,-14.5,-11.1,21,4,2,1,0
YBR192W,0.06185,378,-8.3,-22.8,164,7,1,1,0
YNL116W,0.06198,523,-13.2,-15.2,49,4,3,3,0
YGR116W,0.06207,1452,-10.2,-20.3,53,1,4,2,0
YPR066W,0.06222,243,-4.8,-17.1,80,6,4,1,2
YNL005C,0.06226,372,-11.4,-16.5,46,5,3,1,0
YJL176C,0.0625,826,-12.5,-17,64,3,3,1,0
YGL095C,0.06255,578,-9.4,-9.4,48,6,1,3,0
YGL059W,0.06256,492,-7.9,-8.7,37,6,3,1,0
YDL216C,0.06271,441,-5.1,-3,11,7,3,1,0
YDR164C,0.06298,725,-8,-8.5,44,6,3,1,0
YCR024C,0.06314,493,-10.9,-10.9,21,5,4,4,0
YBR083W,0.06363,389,-10.2,-17,72,8,4,1,0
YIL001W,0.06365,514,-11.2,-8.5,61,4,1,2,0
YLR330W,0.06379,672,-14.8,-8.5,13,7,4,1,0
YJL185C,0.06402,294,-10.8,-13.7,64,4,2,2,0
YDR514C,0.06404,484,-12,-16.1,62,3,2,2,0
YLR376C,0.06409,243,-8,-11,35,3,1,3,0
YNL159C,0.06419,290,-9.4,-9.4,22,7,3,1,0
YDL063C,0.06423,621,-9.6,-12.6,103,6,1,1,0
YHR072W,0.06426,732,-8.4,-9.3,83,6,1,4,0
YNL090W,0.06441,647,-11.8,-8.8,60,3,3,1,0
YDR452W,0.06445,675,-10.2,-15.3,151,2,2,2,1
YLR324W,0.06457,524,-10.3,-12.7,69,3,2,2,0
YBR058C,0.06463,624,-12.9,-9,25,6,4,2,0
YGL181W,0.06507,397,-8.5,-9,37,5,2,1,0
YOL144W,0.06522,485,-9.5,-12,49,4,1,1,0
YFL030W,0.06525,301,-7.1,-11.2,99,4,2,1,0
YDR435C,0.06539,329,-11.2,-10.5,26,4,3,3,0
YNL320W,0.06556,285,-9.9,-17.3,59,2,3,4,0
YDR400W,0.06566,341,-19.7,-10.5,206,7,3,1,1
YDR270W,0.06571,286,-10.3,-6.8,187,6,1,1,0
YDR242W,0.06574,550,-11.4,-11.7,271,6,2,1,3
YKL089W,0.06586,550,-7.1,-12.8,290,3,2,4,2
YHR134W,0.06589,270,-8.2,-5.9,803,3,2,2,5
YPL214C,0.06591,424,-10.5,-11.1,40,4,4,1,0
YLR384C,0.06601,1350,-12.7,-18.7,60,2,2,4,1
YNL124W,0.06607,493,-6.3,-15.1,81,3,4,1,2
YGR178C,0.06666,723,-9.1,-8.6,215,7,1,1,0
YMR004W,0.06691,214,-10.3,-10.4,116,5,1,1,0
YKR023W,0.06719,531,-9,-9,49,5,2,1,0
YEL029C,0.06727,313,-13.1,-14.3,66,8,3,1,0
YCR094W,0.06749,392,-7.1,-14.1,62,3,2,2,0
YMR021C,0.06773,418,-12.1,-11.3,58,3,2,3,0
YPL007C,0.0682,589,-10.4,-12.7,45,6,2,1,0
YHL004W,0.06823,395,-15.9,-15.5,81,1,2,4,0
YKL218C,0.06885,580,-8.9,-8.9,26,4,2,1,0
YKL032C,0.06887,598,-6.1,-10.2,183,3,1,3,0
YLR079W,0.06937,285,-7.1,-13.4,41,7,1,1,0
YJL061W,0.06943,714,-9.1,-11.8,41,6,4,1,0
YIL109C,0.06944,882,-7.3,-12,51,3,1,1,0
YIL109C,0.06944,927,-7.5,-8.6,88,8,2,1,0
YKL024C,0.06968,205,-6.5,-8.3,226,6,1,4,0
YPL177C,0.06969,307,-10.3,-7,406,4,2,1,1
YNL261W,0.06977,480,-3.4,-13.3,72,7,1,1,0
YLL010C,0.07002,428,-5,-17.5,243,7,1,1,0
YKR082W,0.07014,1158,-5.2,-8.9,49,5,1,4,0
YPL157W,0.07017,316,-14.2,-9.4,121,3,3,3,0
YDR288W,0.07028,304,-15.4,-13.1,48,4,1,1,0
YDR439W,0.07034,348,-4.7,-7,242,5,2,4,2
YOR057W,0.07037,396,-5,-13.8,68,8,1,3,0
YJL149W,0.07075,664,-1.6,-4.9,46,4,4,1,0
YNL137C,0.07082,487,-14,-13.3,95,5,3,1,0
YJL156C,0.07083,421,-8.7,-7.6,66,8,4,3,0
YDR185C,0.0709,180,-7.3,-6.7,105,4,2,1,0
YLL006W,0.07137,427,-6.9,-15.5,39,6,4,1,0
YHR030C,0.07141,381,-8.3,-12.8,163,4,3,3,0
YNR013C,0.07149,315,-7.4,-14.2,196,6,2,1,0
YBR238C,0.07181,732,-7.6,-15.4,74,2,3,4,0
YDR468C,0.07183,225,-5.8,-8.4,147,5,2,4,0
YER083C,0.07204,286,-10.3,-10.3,19,7,3,1,0
YMR087W,0.07214,285,-6.7,-7.4,510,5,1,1,4
YDL101C,0.07226,579,-7.5,-13.7,52,4,3,3,0
YLR033W,0.07229,503,-6.9,-12.8,54,6,2,1,0
YOR264W,0.07231,431,-7.1,-8.4,59,4,2,3,0
YOL018C,0.07245,398,-7.8,-10.9,66,7,1,1,0
YFL004W,0.0728,829,-11.3,-16.9,144,2,2,3,0
YDL230W,0.07285,336,-7.9,-12.9,54,3,3,3,0
YNL217W,0.07287,327,-10,-10,29,5,3,1,0
YPL162C,0.07298,535,-11.2,-12.7,72,7,3,1,0
YML110C,0.07314,308,-8.9,-8.9,29,5,3,1,0
YNL156C,0.07316,300,-12.4,-5.5,172,8,2,1,0
YDR194C,0.07338,665,-13,-9.3,24,5,2,2,0
YNL327W,0.0734,1042,-2.9,-4.8,33,5,1,1,0
YFL036W,0.0737,300,-15.2,-7.9,151,7,1,1,0
YKL213C,0.07374,716,-8.2,-11.1,35,2,2,1,0
YNL195C,0.07395,797,-8.2,-6.5,23,5,4,1,0
YGL164C,0.07413,441,-8,-10.7,97,6,1,1,0
YBR095C,0.07425,431,-15.5,-14.6,42,6,1,3,0
YMR012W,0.07428,1278,-11.6,-12.6,125,5,1,2,0
YNL144C,0.07444,741,-10.4,-9,116,7,4,1,0
YBR211C,0.07459,325,-12.7,-12.2,99,5,4,1,0
YOL126C,0.07461,378,-4.6,-3.1,170,6,1,1,1
YGR286C,0.07462,376,-10.4,-10.3,269,5,2,1,0
YDR497C,0.07463,585,-14,-11.1,76,4,3,1,0
YNR048W,0.07465,394,-6,-7.8,125,5,2,1,0
YER123W,0.07469,525,-14.1,-9.1,190,6,3,1,0
YOR141C,0.07485,882,-5.8,-4.7,23,5,4,1,0
YCR077C,0.07494,797,-17.9,-21.9,43,5,4,3,0
YHR062C,0.07502,355,-7.2,-5.8,13,7,1,1,0
YKL146W,0.07523,693,-13.5,-5.6,21,3,3,3,0
YHR075C,0.07549,401,-11.9,-23.5,44,5,2,2,0
YPR025C,0.07555,394,-7.8,-3.5,21,5,3,1,0
YPR045C,0.07562,437,-10.7,-10.7,33,8,1,4,0
YKL019W,0.07582,317,-14.1,-14.1,27,4,2,1,0
YLR138W,0.076,986,-10.9,-12.6,164,5,3,1,0
YLR203C,0.07603,437,-9.3,-11.9,65,5,1,1,0
YNR012W,0.07617,502,-2.4,-2.8,93,4,2,1,1
YJR018W,0.07639,373,-9.9,-9.9,26,6,4,4,0
YMR289W,0.07666,375,-3.8,-7,55,7,1,2,1
YMR013C,0.0767,520,-12.3,-13.2,107,4,3,2,0
YLL031C,0.07671,1018,-12.4,-8.8,66,4,4,1,0
YJL050W,0.07675,1018,-8.7,-6.4,53,4,2,2,0
YOR197W,0.07688,433,-10.8,-8.8,17,6,1,1,0
YGR281W,0.07689,1478,-12.5,-20.3,228,5,1,1,0
YKL125W,0.07704,1026,-8,-9.8,82,4,2,3,0
YBR170C,0.07709,581,-7.7,-9.6,51,4,2,1,0
YBR236C,0.07723,437,-5.2,-11.1,40,6,1,1,0
YFR020W,0.07754,233,-11.3,-8.1,125,5,3,1,0
YGL115W,0.07767,323,-8.5,-13.3,122,7,2,1,0
YMR044W,0.07772,476,-9.2,-17.4,53,6,4,1,0
YMR105C,0.07778,570,-5.6,-5,60,6,4,1,0
YER107C,0.07788,366,-8.7,-10.4,177,6,3,1,0
YNL308C,0.07796,592,-1.9,-6.4,38,5,1,2,0
YFL031W,0.07822,239,-3.37,-4.2,68,5,3,1,0
YGR061C,0.07823,1359,-6,-11.9,124,5,1,2,0
YBL023C,0.07836,423,-10.9,-16.1,76,5,3,1,0
YBL023C,0.07836,869,-5.6,-10.3,55,6,2,3,0
YGR075C,0.07838,243,-4.5,-8.4,41,6,1,1,0
YNR067C,0.07848,1118,-7.4,-10,47,2,3,1,0
YGR162W,0.07853,953,-8.5,-10.5,41,6,1,1,0
YCR044C,0.07865,936,-7.4,-4.4,190,8,1,1,0
YHR133C,0.0789,292,-3.1,-4.1,35,3,2,4,0
YMR235C,0.07903,408,-13.8,-13.1,25,4,2,3,0
YNR032W,0.07904,1197,-7,-7.9,31,6,4,1,0
YHR196W,0.07909,576,-9.2,-17.4,56,6,2,1,0
YOL061W,0.07913,497,-15.4,-13.6,65,6,3,2,0
YDR309C,0.07971,384,-5.3,-9.1,51,6,1,1,0
YLR276C,0.07979,595,-9.7,-7.9,97,7,1,1,0
YMR261C,0.07994,1055,-9.9,-4,171,7,1,2,0
YDL076C,0.08008,597,-7.3,-7.3,31,5,1,4,0
YGR200C,0.08023,789,-6.9,-18.7,61,4,1,1,0
YIL023C,0.08026,1393,-1.8,-10.1,119,5,2,4,0
YNL288W,0.08029,374,-13.3,-14.1,142,5,3,1,0
YPL012W,0.08033,1229,-9.8,-10.5,122,5,2,1,0
YDL006W,0.08039,348,-10.4,-12.2,64,6,1,1,0
YDL106C,0.08058,560,-7.4,-8.5,65,5,2,3,0
YDR188W,0.0809,547,-10.3,-8.5,48,6,1,1,0
YEL032W,0.08094,972,-8.8,-9,53,3,2,1,0
YNL132W,0.08101,1057,-5.3,-8.1,92,6,3,1,0
YLR002C,0.08106,664,-8.4,-12.8,52,6,3,1,0
YDL164C,0.08116,756,-12.3,-12.7,52,4,1,2,0
YML037C,0.08119,202,-8.5,-9.6,36,7,3,1,0
YDR184C,0.08126,295,-7.5,-7.5,31,5,1,1,0
YGR220C,0.08132,270,-6.4,-10.6,66,5,1,3,0
YGL126W,0.08133,381,-9.2,-16.8,38,8,1,1,0
YDR348C,0.08171,566,-4.7,-4.7,16,3,4,1,0
YPL210C,0.08199,335,-5.2,-7.7,57,4,2,1,0
YPL210C,0.08199,641,-8.7,-7.7,21,9,1,1,1
YLL034C,0.08222,838,-6.8,-11.4,40,5,3,1,0
YKL184W,0.08226,467,-9.7,-10.1,211,5,4,1,0
YDR539W,0.08237,504,-1.5,-13.8,94,4,1,2,0
YMR060C,0.08259,328,-10.3,-10.3,27,4,2,3,0
YCL034W,0.08261,947,-10.6,-12.2,50,8,1,1,0
YOR297C,0.08318,255,-7.2,-8.8,50,4,4,1,0
YPL252C,0.08334,196,-10,-15.1,41,5,4,3,0
YMR316W,0.08339,337,-8.2,-10.4,65,3,4,1,0
YOR221C,0.08347,361,-7.7,-14.4,63,1,3,2,0
YKR077W,0.08397,364,-8.2,-8.2,27,4,4,2,0
YGL098W,0.08399,246,-12.6,-12.4,555,6,3,1,5
YLR142W,0.08402,477,-6.1,-10.1,37,4,4,3,0
YNL097C,0.0843,331,-10.4,-8.5,133,5,3,4,0
YHR147C,0.08441,215,-9.5,-9.5,36,5,4,4,0
YLR082C,0.08448,287,-2.2,-17.6,48,5,3,3,0
YEL022W,0.08455,435,-6.6,-15.9,42,8,1,2,0
YEL022W,0.08455,1460,-1.8,-16.6,115,5,3,1,0
YEL022W,0.08455,748,-2.7,-14.8,72,3,2,2,0
YJR073C,0.08458,207,-6,-6,31,3,4,3,0
YGL207W,0.08459,1036,-10.7,-10.2,94,3,3,1,0
YBL016W,0.08461,354,-8.7,-6.7,90,6,1,1,0
YOL029C,0.08468,202,-7.9,-7.3,44,2,3,3,0
YGR072W,0.0847,388,-8.9,-9.9,42,2,2,1,0
YEL058W,0.08474,558,-9.1,-9.1,32,3,3,1,0
YML121W,0.08493,311,-9,-17,136,5,2,3,1
YMR188C,0.08498,413,-12,-16,45,5,2,1,0
YPL005W,0.085,607,-12.3,-8.7,24,4,1,2,0
YHR060W,0.08515,286,-7.3,-7.8,38,3,3,1,0
